"osm_id","lat","lon"
914518432,-31.76847980,-52.34369150
1241471028,-31.73764120,-52.32789170
1675174754,-31.75346500,-52.33721450
1675174756,-31.75375360,-52.33627060
1675174766,-31.75587300,-52.33715730
1675174859,-31.76412920,-52.34059990
1675174873,-31.76513670,-52.34102810
1675174877,-31.76543080,-52.34000620
1675174889,-31.76617660,-52.34395440
1675174891,-31.76625570,-52.34037090
1675174908,-31.76715980,-52.34434890
1675174916,-31.76757180,-52.34715910
1675174928,-31.76815060,-52.34476390
1675174930,-31.76839050,-52.34860640
1675174977,-31.77101320,-52.34349570
1675174997,-31.77211170,-52.33984760
1852331110,-31.75492600,-52.31931090
2302841958,-31.75022990,-52.39515780
2320322574,-31.75236330,-52.33566520
2325046504,-31.71636150,-52.35165390
2325046678,-31.72324810,-52.35171660
2344374821,-31.76747790,-52.34325170
2344374822,-31.76684470,-52.34176030
2344374823,-31.76594670,-52.34138210
2344374833,-31.76776990,-52.34227890
2353137320,-31.76809840,-52.34116160
3408672903,-31.76962220,-52.34292710
3722372988,-31.70493310,-52.34061330
4037052589,-31.77053880,-52.34321720
4037052597,-31.77112430,-52.34263130
4792584239,-31.76924380,-52.34275730
5156904856,-31.76244820,-52.31895360
5156904896,-31.76051910,-52.31889190
5156904898,-31.76047660,-52.31874310
5156904900,-31.76043470,-52.31859280
5156904902,-31.76038630,-52.31840570
5290464463,-31.76708590,-52.31619980
5412456507,-31.76780580,-52.34215920
5839161254,-31.77019080,-52.34316380
5984434448,-31.76394020,-52.34991350
6894179350,-31.76685070,-52.34174140
7400172261,-31.76885440,-52.34250060
8605336290,-31.74986080,-52.33710860
8678749843,-31.76531960,-52.34539840
8748611454,-31.73102430,-52.34010140
